cov_scale,fault_active,gate,gate_supervision_mask,gate_target,k,sensor_id,t,valid,weight
,0.0,,,,0,1,0.0,1.0,0.2774704098701477
,0.0,,,,0,2,0.0,1.0,0.15319396555423737
,0.0,,,,0,3,0.0,1.0,0.3398873507976532
,0.0,,,,0,4,0.0,1.0,0.22944825887680054
,0.0,,,,1,1,0.10000000149011612,1.0,0.280661940574646
,0.0,,,,1,2,0.10000000149011612,1.0,0.18033869564533234
,0.0,,,,1,3,0.10000000149011612,1.0,0.2802896201610565
,0.0,,,,1,4,0.10000000149011612,1.0,0.2587098181247711
,0.0,,,,2,1,0.20000000298023224,1.0,0.1949952095746994
,0.0,,,,2,2,0.20000000298023224,1.0,0.15147824585437775
,0.0,,,,2,3,0.20000000298023224,1.0,0.46237948536872864
,0.0,,,,2,4,0.20000000298023224,1.0,0.1911470890045166
,0.0,,,,3,1,0.30000001192092896,1.0,0.27417507767677307
,0.0,,,,3,2,0.30000001192092896,1.0,0.18887440860271454
,0.0,,,,3,3,0.30000001192092896,1.0,0.3607161045074463
,0.0,,,,3,4,0.30000001192092896,1.0,0.1762344241142273
,0.0,,,,4,1,0.4000000059604645,1.0,0.3023247718811035
,0.0,,,,4,2,0.4000000059604645,1.0,0.25268566608428955
,0.0,,,,4,3,0.4000000059604645,1.0,0.22960996627807617
,0.0,,,,4,4,0.4000000059604645,1.0,0.21537958085536957
,0.0,,,,5,1,0.5,1.0,0.19112688302993774
,0.0,,,,5,2,0.5,1.0,0.2747328281402588
,0.0,,,,5,3,0.5,1.0,0.35870620608329773
,0.0,,,,5,4,0.5,1.0,0.17543405294418335
,0.0,,,,6,1,0.6000000238418579,1.0,0.0980992317199707
,0.0,,,,6,2,0.6000000238418579,1.0,0.30516594648361206
,0.0,,,,6,3,0.6000000238418579,1.0,0.309696227312088
,0.0,,,,6,4,0.6000000238418579,1.0,0.28703853487968445
,0.0,,,,7,1,0.699999988079071,1.0,0.19010017812252045
,0.0,,,,7,2,0.699999988079071,1.0,0.17970846593379974
,0.0,,,,7,3,0.699999988079071,1.0,0.18970754742622375
,0.0,,,,7,4,0.699999988079071,1.0,0.44048380851745605
,0.0,,,,8,1,0.800000011920929,1.0,0.22011199593544006
,0.0,,,,8,2,0.800000011920929,1.0,0.2057245522737503
,0.0,,,,8,3,0.800000011920929,1.0,0.18932795524597168
,0.0,,,,8,4,0.800000011920929,1.0,0.38483554124832153
,0.0,,,,9,1,0.8999999761581421,1.0,0.2202586829662323
,0.0,,,,9,2,0.8999999761581421,1.0,0.27032455801963806
,0.0,,,,9,3,0.8999999761581421,1.0,0.20133118331432343
,0.0,,,,9,4,0.8999999761581421,1.0,0.3080856204032898
,0.0,,,,10,1,1.0,1.0,0.1909010261297226
,0.0,,,,10,2,1.0,1.0,0.3393734395503998
,0.0,,,,10,3,1.0,1.0,0.1915908008813858
,0.0,,,,10,4,1.0,1.0,0.27813467383384705
,0.0,,,,11,1,1.100000023841858,1.0,0.17055438458919525
,0.0,,,,11,2,1.100000023841858,1.0,0.2862752377986908
,0.0,,,,11,3,1.100000023841858,1.0,0.2026994824409485
,0.0,,,,11,4,1.100000023841858,1.0,0.34047093987464905
,0.0,,,,12,1,1.2000000476837158,1.0,0.1731111854314804
,0.0,,,,12,2,1.2000000476837158,1.0,0.22815315425395966
,0.0,,,,12,3,1.2000000476837158,1.0,0.24019581079483032
,0.0,,,,12,4,1.2000000476837158,1.0,0.35853978991508484
,0.0,,,,13,1,1.2999999523162842,1.0,0.15754365921020508
,0.0,,,,13,2,1.2999999523162842,1.0,0.25832289457321167
,0.0,,,,13,3,1.2999999523162842,1.0,0.29266685247421265
,0.0,,,,13,4,1.2999999523162842,1.0,0.291466623544693
,0.0,,,,14,1,1.399999976158142,1.0,0.22443273663520813
,0.0,,,,14,2,1.399999976158142,1.0,0.2557135224342346
,0.0,,,,14,3,1.399999976158142,1.0,0.20068427920341492
,0.0,,,,14,4,1.399999976158142,1.0,0.31916946172714233
,0.0,,,,15,1,1.5,1.0,0.251266747713089
,0.0,,,,15,2,1.5,1.0,0.2710164487361908
,0.0,,,,15,3,1.5,1.0,0.18977265059947968
,0.0,,,,15,4,1.5,1.0,0.28794413805007935
,0.0,,,,16,1,1.600000023841858,1.0,0.2609507739543915
,0.0,,,,16,2,1.600000023841858,1.0,0.21571217477321625
,0.0,,,,16,3,1.600000023841858,1.0,0.29495805501937866
,0.0,,,,16,4,1.600000023841858,1.0,0.22837893664836884
,0.0,,,,17,1,1.7000000476837158,1.0,0.32957717776298523
,0.0,,,,17,2,1.7000000476837158,1.0,0.19849081337451935
,0.0,,,,17,3,1.7000000476837158,1.0,0.21270215511322021
,0.0,,,,17,4,1.7000000476837158,1.0,0.2592299282550812
,0.0,,,,18,1,1.7999999523162842,1.0,0.3059459626674652
,0.0,,,,18,2,1.7999999523162842,1.0,0.16803959012031555
,0.0,,,,18,3,1.7999999523162842,1.0,0.17703618109226227
,0.0,,,,18,4,1.7999999523162842,1.0,0.34897831082344055
,0.0,,,,19,1,1.899999976158142,1.0,0.31435883045196533
,0.0,,,,19,2,1.899999976158142,1.0,0.16166473925113678
,0.0,,,,19,3,1.899999976158142,1.0,0.13985300064086914
,0.0,,,,19,4,1.899999976158142,1.0,0.38412347435951233
,0.0,,,,20,1,2.0,1.0,0.3404519557952881
,0.0,,,,20,2,2.0,1.0,0.1664465218782425
,0.0,,,,20,3,2.0,1.0,0.12597553431987762
,0.0,,,,20,4,2.0,1.0,0.367125928401947
,0.0,,,,21,1,2.0999999046325684,1.0,0.3545392155647278
,0.0,,,,21,2,2.0999999046325684,1.0,0.15982788801193237
,0.0,,,,21,3,2.0999999046325684,1.0,0.12906180322170258
,0.0,,,,21,4,2.0999999046325684,1.0,0.3565710186958313
,0.0,,,,22,1,2.200000047683716,1.0,0.39280959963798523
,0.0,,,,22,2,2.200000047683716,1.0,0.18014740943908691
,0.0,,,,22,3,2.200000047683716,1.0,0.09307942539453506
,0.0,,,,22,4,2.200000047683716,1.0,0.33396345376968384
,0.0,,,,23,1,2.299999952316284,1.0,0.5083115100860596
,0.0,,,,23,2,2.299999952316284,1.0,0.21194203197956085
,0.0,,,,23,3,2.299999952316284,1.0,0.07830870151519775
,0.0,,,,23,4,2.299999952316284,1.0,0.20143769681453705
,0.0,,,,24,1,2.4000000953674316,1.0,0.4099445641040802
,0.0,,,,24,2,2.4000000953674316,1.0,0.2524704039096832
,0.0,,,,24,3,2.4000000953674316,1.0,0.0937865599989891
,0.0,,,,24,4,2.4000000953674316,1.0,0.24379846453666687
,0.0,,,,25,1,2.5,1.0,0.4816863238811493
,0.0,,,,25,2,2.5,1.0,0.2630545198917389
,0.0,,,,25,3,2.5,1.0,0.10649395734071732
,0.0,,,,25,4,2.5,1.0,0.1487652063369751
,0.0,,,,26,1,2.5999999046325684,1.0,0.4549579322338104
,0.0,,,,26,2,2.5999999046325684,1.0,0.2682429850101471
,0.0,,,,26,3,2.5999999046325684,1.0,0.13780221343040466
,0.0,,,,26,4,2.5999999046325684,1.0,0.13899683952331543
,0.0,,,,27,1,2.700000047683716,1.0,0.4922584593296051
